,price,year,developer,item_id
0,4.99,2018.0,Kotoshiro,761140.0
1,0.0,2018.0,Secret Level SRL,643980.0
2,0.0,2017.0,Poolians.com,670290.0
3,0.99,2017.0,彼岸领域,767400.0
4,3.99,2018.0,Trickjump Games Ltd,772540.0
5,9.99,2018.0,Poppermost Productions,774276.0
6,18.99,2018.0,Poppermost Productions,774277.0
7,29.99,2018.0,Poppermost Productions,774278.0
8,0.0,2018.0,RewindApp,768800.0
9,0.0,,Qucheza,768570.0
10,10.99,2018.0,Stegalosaurus Game Development,770380.0
11,3.99,2018.0,Copperpick Studio,768880.0
12,2.99,2018.0,Ghulam Jewel,765320.0
13,1.59,2018.0,Apillo,773650.0
14,14.99,2018.0,Poppermost Productions,774271.0
15,1.99,2018.0,Apillo,773690.0
16,59.99,2018.0,Poppermost Productions,774279.0
17,0.99,2018.0,Tero Lunkka,768060.0
18,2.99,2017.0,FrozenPepper,775880.0
19,2.99,2017.0,FrozenPepper,775881.0
20,4.99,2018.0,Casey Labrack,653960.0
21,4.99,2018.0,,777910.0
22,9.99,1997.0,Stainless Games Ltd,282010.0
23,9.99,1998.0,Valve,70.0
24,1.99,2016.0,dev4play,752360.0
25,0.0,2018.0,BlueLine Games,520680.0
26,0.0,2018.0,Games by Brundle,690410.0
27,0.99,2018.0,ETGgames,766850.0
28,0.0,2018.0,ProjectorGames,413120.0
29,0.0,2017.0,Unknown Indie Devs,773120.0
30,8.99,2018.0,The Commander,754360.0
31,0.99,2018.0,"lalalaZero,Urbanoff",716110.0
32,6.99,2006.0,Strategy First,1640.0
33,6.99,2006.0,Strategy First,1630.0
34,9.99,2006.0,Outerlight Ltd.,2400.0
35,0.0,,Breakout Studio,381620.0
36,0.0,,"zha7,Phaedruns,Yingke Wu",714020.0
37,7.99,2017.0,Ultraint,759920.0
38,0.0,2018.0,Seth Albertus,659780.0
39,10.99,2017.0,TPM.CO SOFT WORKS,603280.0
40,9.99,2017.0,Wonderbox Games,753110.0
41,9.99,2017.0,Wonderbox Games,753100.0
42,1.99,2017.0,Mad Unicorn Games,764280.0
43,0.99,2017.0,Emanon Studios,758550.0
44,9.99,2005.0,GlyphX Games,3800.0
45,9.99,2006.0,Introversion Software,1520.0
46,9.99,2006.0,Outerlight Ltd.,2420.0
47,9.99,2006.0,Facepunch Studios,4000.0
48,39.99,2006.0,SimBin,4230.0
49,0.0,2006.0,Unknown Worlds Entertainment,4900.0
50,4.99,2006.0,"CINEMAX, s.r.o.",2520.0
51,4.99,2003.0,Sick Puppies,6200.0
52,4.99,2006.0,Deepred,6210.0
53,19.99,2006.0,Funcom,6300.0
54,9.99,2006.0,Bugbear Entertainment,2990.0
55,7.49,2005.0,Bugbear Entertainment,6220.0
56,14.99,2007.0,"CAPCOM Co., Ltd.",6510.0
57,9.99,2006.0,"FireFly Studios,Firaxis Games",3980.0
58,4.99,2002.0,Arkane Studios,1700.0
59,9.99,2000.0,Funcom,6310.0
60,4.99,2006.0,Firaxis Games,3990.0
61,9.99,2003.0,PopTop,7610.0
62,9.99,2006.0,"Firaxis Games,Feral Interactive (Mac)",7600.0
63,4.99,1998.0,PopTop,7620.0
64,4.99,2007.0,Elephant Games,2540.0
65,4.99,1995.0,"MicroProse Software, Inc",7650.0
66,8.99,2007.0,"Crystal Dynamics,Feral Interactive (Mac)",8000.0
67,19.99,2006.0,"CAPCOM Co., Ltd.",6550.0
68,19.99,2006.0,Telltale Games,8200.0
69,4.99,1996.0,id Software,2290.0
70,0.0,2007.0,Freegamer,2570.0
71,19.99,2006.0,Telltale Games,8210.0
72,4.99,1995.0,id Software,2280.0
73,14.99,1995.0,id Software,9160.0
74,4.99,1994.0,id Software,2300.0
75,4.99,1994.0,id Software,2270.0
76,4.99,2001.0,Gray Matter Studios,9010.0
77,2.99,1997.0,Ritual Entertainment,9040.0
78,2.99,1993.0,id Software,9000.0
79,9.99,2003.0,Terminal Reality,3810.0
80,2.99,2007.0,Rogue Entertainment,9030.0
81,4.99,2007.0,id Software,2310.0
82,4.99,2007.0,Metamorf,3230.0
83,12.99,2006.0,Relic Entertainment,9310.0
84,19.99,2007.0,"2K Boston,2K Australia",7670.0
85,12.99,2006.0,Relic Entertainment,4570.0
86,12.99,2006.0,Relic Entertainment,4580.0
87,9.99,2004.0,The Creative Assembly,4760.0
88,4.99,2006.0,The Creative Assembly,4770.0
89,6.99,2007.0,Big Fish Games,50970.0
90,0.0,1998.0,Rockstar North,12170.0
91,0.0,1999.0,Rockstar North,12180.0
92,9.99,2004.0,Rockstar North,12130.0
93,9.99,2003.0,Rockstar San Diego,12160.0
94,9.99,2003.0,Remedy Entertainment,12150.0
95,6.99,2006.0,Crystal Dynamics,7000.0
96,9.99,2001.0,Remedy Entertainment,12140.0
97,19.99,2008.0,EA Los Angeles,17480.0
98,9.99,2007.0,Infinite Interactive,12500.0
99,9.99,2007.0,Momentum Digital Media Technologies,12310.0
100,9.99,2007.0,"Gamebryo,Virtual Playground",12510.0
101,9.99,2007.0,SCS Software,12530.0
102,9.99,2007.0,SCS Software,12520.0
103,5.99,2008.0,Pivotal Games,8100.0
104,7.99,2007.0,Bohemia Interactive,2780.0
105,9.99,2006.0,,9730.0
106,9.99,2006.0,Spellbound,9710.0
107,4.99,2007.0,Haggard Games,9800.0
108,2.99,2006.0,Eugen Systems,9760.0
109,19.99,2006.0,"Frontier,Aspyr (Mac)",2700.0
110,2.99,2005.0,Eugen Systems,2710.0
111,14.99,2003.0,"Epic Games, Inc.",13200.0
112,9.99,1998.0,"Epic Games, Inc.",13250.0
113,4.99,2008.0,Sanzaru Games,13000.0
114,9.99,2003.0,Ubisoft,13560.0
115,9.99,2004.0,Crytek Studios,13520.0
116,9.99,2000.0,"Epic Games, Inc.",13240.0
117,9.99,2006.0,Ubisoft Montreal,13540.0
118,9.99,2005.0,Ubisoft,15210.0
119,9.99,2008.0,Last Day of Work,16180.0
120,4.99,2008.0,SpinTop Games,3520.0
121,9.99,2008.0,MumboJumbo,15970.0
122,9.99,2008.0,MumboJumbo,15950.0
123,9.99,2008.0,MumboJumbo,15960.0
124,9.99,2008.0,MumboJumbo,15900.0
125,9.99,2005.0,MumboJumbo,15910.0
126,9.99,2007.0,MumboJumbo,15930.0
127,9.99,2007.0,Ubisoft,15160.0
128,9.99,2005.0,MumboJumbo,15920.0
129,9.99,2007.0,"Ubisoft Bulgaria,Ubisoft Montpellier",15080.0
130,9.99,2007.0,Ubisoft Romania,15200.0
131,9.99,2006.0,1C: Maddox Games,15320.0
132,9.99,2008.0,Ubisoft Romania,15240.0
133,9.99,2005.0,Telltale Games,8310.0
134,9.99,2005.0,"Merscom,Babylon",12600.0
135,9.99,2006.0,Telltale Games,8320.0
136,9.99,2008.0,BigAnt Studios,12590.0
137,9.99,2008.0,Zemnott,12580.0
138,9.99,2007.0,Gabriel Entertainment,12560.0
139,9.99,2008.0,Zemnott,12570.0
140,9.99,2007.0,Zemnott,12540.0
141,9.99,2008.0,Frogwares,11050.0
142,0.0,2008.0,Eurocom,10520.0
143,9.99,2008.0,Frogwares,11040.0
144,4.99,2008.0,"Luc Bernard,SilverSphereStudios",19500.0
145,7.99,2007.0,Lesta Studio,11260.0
146,4.99,2008.0,Dialogue Design,19200.0
147,19.99,2008.0,Bugbear Entertainment,12360.0
148,2.99,1998.0,Oddworld Inhabitants,15710.0
149,2.99,1997.0,Oddworld Inhabitants,15700.0
150,7.99,2008.0,SimBin,8660.0
151,4.99,2001.0,"MicroProse Software, Inc",7770.0
152,4.99,1997.0,"MicroProse Software, Inc",7660.0
153,4.99,1993.0,"MicroProse Software, Inc",7760.0
154,9.99,2008.0,GSC Game World,20510.0
155,19.99,2008.0,Crytek,17330.0
156,19.99,2007.0,Crytek,17300.0
157,4.99,1998.0,"MicroProse Software, Inc",7730.0
158,9.99,2008.0,CD PROJEKT RED,20900.0
159,9.99,2008.0,Introversion Software,1530.0
160,2.99,2008.0,SimBin,8690.0
161,2.49,2008.0,"Tilted Mill Entertainment, Inc.",17120.0
162,19.99,2008.0,Firaxis Games,16810.0
163,9.99,2003.0,"Red Storm Entertainment,Ubisoft Montreal",19830.0
164,19.99,2008.0,Traveller's Tales,21000.0
165,9.99,2008.0,Monte Cristo,4460.0
166,9.99,2008.0,"Tilted Mill Entertainment, Inc.",17140.0
167,9.99,2008.0,Gearbox Software,15390.0
168,4.99,2008.0,Dark Castle Software,21300.0
169,4.99,2006.0,Techland,3050.0
170,9.99,2006.0,Nival,15380.0
171,9.99,2005.0,Gearbox Software,19800.0
172,9.99,2007.0,Nival,15370.0
173,19.99,2008.0,Blue Byte,19930.0
174,9.99,2007.0,Ubisoft,15350.0
175,9.99,2002.0,Red Storm Entertainment,19810.0
176,4.99,2008.0,"PopCap Games, Inc.",3540.0
177,9.99,2008.0,2D BOY,22000.0
178,15.99,2008.0,Egosoft,2820.0
179,0.0,2008.0,Sandstorm Productions,1230.0
180,4.99,2008.0,Shorebound Studios,18300.0
181,19.99,2008.0,Perpetual FX Creative,20200.0
182,14.99,2008.0,Rockstar New England,12200.0
183,9.99,2008.0,Ubisoft Montreal,19900.0
184,4.99,2008.0,Meridian4,11240.0
185,4.99,2009.0,RailSimulator.com,256522.0
186,4.99,2009.0,RailSimulator.com,275144.0
187,4.99,2009.0,RailSimulator.com,256521.0
188,4.99,2009.0,Reppo,222569.0
189,4.99,2009.0,RailSimulator.com,256535.0
190,4.99,2009.0,Dovetail Games,256611.0
191,4.99,2009.0,Dovetail Games,256576.0
192,9.99,2009.0,Volition,9480.0
193,19.99,2008.0,EA Redwood Shores,17470.0
194,9.99,2008.0,Liquid Entertainment,12770.0
195,19.99,2009.0,DICE,17410.0
196,9.99,2008.0,Hidden Path Entertainment,18500.0
197,14.99,2009.0,Monolith,16450.0
198,7.99,2008.0,Oxeye Game Studio,15400.0
199,9.99,2007.0,Inventive Dingo,18600.0
200,4.99,2009.0,Meridian4,11340.0
201,9.99,2005.0,Black Sea Studios Ltd,25830.0
202,5.99,2009.0,Realmforge Studios,23460.0
203,2.99,2009.0,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10600.0
204,4.99,2009.0,Deadline Games,21010.0
205,9.99,2007.0,Frictional Games,22180.0
206,19.99,2007.0,"Epic Games, Inc.",13210.0
207,9.99,2009.0,Radon Labs,12640.0
208,0.0,2009.0,Certain Affinity™,21600.0
209,4.99,2008.0,Tale of Tales,27020.0
210,19.99,2009.0,Criterion Games,24740.0
211,0.0,2009.0,Zombie Master Team,90047.0
212,9.99,2009.0,Twisted Pixel Games,26000.0
213,1.25,2009.0,Twisted Pixel Games,26006.0
214,1.25,2009.0,Twisted Pixel Games,26005.0
215,4.99,2009.0,IonFX,11330.0
216,9.99,2009.0,Llamasoft LTD,27800.0
217,14.99,2009.0,"InnoGlow,Stormregion,THQ Nordic",9850.0
218,4.99,2009.0,SpinTop Games,3600.0
219,19.99,2006.0,ArenaNet®,29580.0
220,19.99,2005.0,ArenaNet®,29540.0
221,19.99,2006.0,ArenaNet®,29560.0
222,29.99,2008.0,ArenaNet®,29570.0
223,14.99,2009.0,Infinite Interactive,23700.0
224,9.99,2009.0,MumboJumbo,16060.0
225,9.99,2009.0,Reality Pump Studios,1930.0
226,9.99,2009.0,Spellbound,18470.0
227,9.99,2009.0,Gaijin Entertainment,7510.0
228,9.99,2009.0,ACE Team,22200.0
229,1.25,2009.0,Twisted Pixel Games,26007.0
230,6.99,2008.0,1C Company,25900.0
231,9.99,2009.0,Last Day of Work,16200.0
232,2.99,2009.0,Sky Fallen,7840.0
233,4.99,2005.0,Irrational Games,8890.0
234,4.99,2002.0,Irrational Games,8880.0
235,14.99,2009.0,SaintXi,34500.0
236,0.0,2009.0,Darklight Games,1280.0
237,19.99,2009.0,Radical Entertainment,10150.0
238,4.99,,Erik Svedäng,29160.0
